In-House Name,Instances,Length,Matches TG-263,TG-263 suggestion,Reason,Structure Type,Rules
CTV66 GS,1,8,False,,PTV/CTV/GTV,target,['TBD']
CTV60 GS,1,8,False,,PTV/CTV/GTV,target,['TBD']
OPTIC  PRV,1,10,False,,,non-target,[5]
OpticNerve_L PRV,4,16,False,,,non-target,[5]
OpticNerve_R PRV,4,16,False,,,non-target,[5]
Chiasm PRV,9,10,False,,,non-target,[5]
PTVOPT 66 Gy,1,12,False,,PTV/CTV/GTV,target,['TBD']
PTVOPT 60Gy,1,11,False,,PTV/CTV/GTV,target,['TBD']
PTV AND OPTIC,4,13,False,,PTV/CTV/GTV,target,['TBD']
PTV ALL,11,7,False,,PTV/CTV/GTV,target,['TBD']
AVOID FRONTAL,1,13,False,,avoid,non-target,[5]
AVOID POST,1,10,False,,avoid,non-target,[5]
PTV TOTAL,1,9,False,,PTV/CTV/GTV,target,['TBD']
PTV60 OPT,3,9,False,,PTV/CTV/GTV,target,['TBD']
RING60,1,6,False,,,non-target,[]
Dose 71[Gy],3,11,False,,,non-target,[5]
ESOPHAGUS 2cm,1,13,False,,,non-target,[5]
AVOID 54,3,8,False,,avoid,non-target,[5]
RING 54,4,7,False,,,non-target,[5]
CTV54,3,5,False,,PTV/CTV/GTV,target,['TBD']
PTV54,3,5,False,,PTV/CTV/GTV,target,['TBD']
remove 40,1,9,False,,,non-target,[5]
remove 48,1,9,False,,,non-target,[5]
CTV1,4,4,False,,PTV/CTV/GTV,target,['TBD']
RING 50,3,7,False,,,non-target,[5]
RING 20,1,7,False,,,non-target,[5]
PTV1,3,4,False,,PTV/CTV/GTV,target,['TBD']
PTV2,1,4,False,,PTV/CTV/GTV,target,['TBD']
Chiasma PRV3mm,1,14,False,,,non-target,[5]
Optic Ner L PRV3,1,16,False,,,non-target,[5]
Optic Ner R PRV3,1,16,False,,,non-target,[5]
PTV1 OPT,1,8,False,,PTV/CTV/GTV,target,['TBD']
PTV2 OPT,1,8,False,,PTV/CTV/GTV,target,['TBD']
PTV2 OPT AND CHI,1,16,False,,PTV/CTV/GTV,target,['TBD']
LENS L PRV,1,10,False,,,non-target,[5]
LENS R PRV,1,10,False,,,non-target,[5]
Optic Apparatus,1,15,False,,,non-target,[5]
Optic App PRV,1,13,False,,,non-target,[5]
CTV2,1,4,False,,PTV/CTV/GTV,target,['TBD']
PTV1 OPT AND OPT,1,16,False,,PTV/CTV/GTV,target,['TBD']
SHOULDERS_L,1,11,False,,,non-target,[]
CTV66FC,1,7,False,,PTV/CTV/GTV,target,['TBD']
MOD1_PTV66+PTV60,4,16,False,,PTV/CTV/GTV,target,['TBD']
THYROID,4,7,False,Cartlg_Thyroid,,non-target,[]
POST  Avoid,1,11,False,,avoid,non-target,[5]
ANT AVOID,2,9,False,,avoid,non-target,[5]
Dose 70[Gy],2,11,False,,,non-target,[5]
Oral Cavity NOS,1,15,False,,nos,non-target,[5]
N.TISSUE 1,1,10,False,,,non-target,[5]
N.TISSUE 2,1,10,False,,,non-target,[5]
N.TISSUE 3,1,10,False,,,non-target,[5]
Dose 72[Gy],1,11,False,,,non-target,[5]
Lens L,8,6,False,,,non-target,[5]
Lens R,8,6,False,,,non-target,[5]
OpticNerve R PRV,8,16,False,,,non-target,[5]
OpticNerve R,8,12,False,,,non-target,[5]
OpticNerve L PRV,8,16,False,,,non-target,[5]
OpticNerve L,8,12,False,,,non-target,[5]
TemporalLobe R,8,14,False,,,non-target,[5]
TemporalLobe L,8,14,False,,,non-target,[5]
BrachialPlexus R,8,16,False,,,non-target,[5]
BrachialPlexus L,8,16,False,,,non-target,[5]
External,26,8,True,,,non-target,[]
Eye L,8,5,False,,,non-target,[5]
Eye R,8,5,False,,,non-target,[5]
SpinalCord PRV,8,14,False,,,non-target,[5]
BrainStem PRV,6,13,False,,,non-target,[5]
z_Dose 76[%],2,12,False,,z,non-target,[5]
PTV_7000,76,8,False,,PTV/CTV/GTV,target,['TBD']
PTV_5600,25,8,False,,PTV/CTV/GTV,target,['TBD']
z_EsophagusNOS,5,14,False,,z,non-target,[]
z_MandibleNOS,3,13,False,,z,non-target,[]
Parotid_L_1,1,11,False,,,non-target,[]
OpticNerve_1_R,1,14,False,,,non-target,[]
OpticNerve_1_L,1,14,False,,,non-target,[]
Larynx_1,1,8,False,,,non-target,[]
PharCon_Sup_1,1,13,False,,,non-target,[]
Brain_1,1,7,False,,,non-target,[]
Eye_1_R,1,7,False,,,non-target,[]
PharCon_Inf_1,1,13,False,,,non-target,[]
Lens_1_L,1,8,False,,,non-target,[]
SpinalCord_1,1,12,False,,,non-target,[]
SubmndSalv_1_R,1,14,False,,,non-target,[]
Mandible_1,1,10,False,,,non-target,[]
TemporalLobe_R_1,1,16,False,,,non-target,[]
LARYNX_1_NOS,1,12,False,,nos,non-target,[]
SHOULDERS_R,1,11,False,,,non-target,[]
Cochlea_1_R,1,11,False,,,non-target,[]
Parotid_R_1,1,11,False,,,non-target,[]
Chiasm_1,1,8,False,,,non-target,[]
Brainstem_1,1,11,False,,,non-target,[]
Eye_1_L,1,7,False,,,non-target,[]
PharCon_Mid_1,1,13,False,,,non-target,[]
Cochlea_1_L,1,11,False,,,non-target,[]
PACEMAKER,9,9,False,Pacemaker,casing,non-target,[4]
BOLUS,2,5,False,Bolus,casing,non-target,[4]
OpticApparatus,4,14,False,,,non-target,[]
OpticApp_PRV,6,12,False,,,non-target,[]
PTV_PRV overlap,1,15,False,,PTV/CTV/GTV,target,['TBD']
PRV_Eye R,1,9,False,,,non-target,[5]
PTV70_OPT,9,9,False,,PTV/CTV/GTV,target,['TBD']
PTV+Overlap,1,11,False,,PTV/CTV/GTV,target,['TBD']
RING,4,4,False,,,non-target,[]
LIP AVOIDANCE,1,13,False,,avoid,non-target,[5]
PTV60_OPT,8,9,False,,PTV/CTV/GTV,target,['TBD']
AVOID 53.2GY,4,12,False,,avoid,non-target,[5]
AVOID 45GY,2,10,False,,avoid,non-target,[5]
Retina_R,18,8,True,,,non-target,[]
Retina_L,18,8,True,,,non-target,[]
Ant_globe_R,1,11,False,,,non-target,[]
Ant_globe_L,1,11,False,,,non-target,[]
SPINAL_CORD,2,11,False,,,non-target,[]
GLND_LACRIMAL_R,1,15,False,Glnd_Lacrimal_R,casing,non-target,[4]
GLND_LACRIMAL_L,1,15,False,Glnd_Lacrimal_L,casing,non-target,[4]
PTV optic overl,1,15,False,,PTV/CTV/GTV,target,['TBD']
PTV+Optics,2,10,False,,PTV/CTV/GTV,target,['TBD']
Tumor_bed,2,9,False,,,non-target,[]
NEW DENSITY,2,11,False,,,non-target,[5]
PTV70+60,4,8,False,,PTV/CTV/GTV,target,['TBD']
Esophagus_NOS,2,13,False,,nos,non-target,[]
MANDIBULE_NOS,1,13,False,,nos,non-target,[]
Parotid_L_NOS,6,13,False,,nos,non-target,[]
Parotid_R_NOS,6,13,False,,nos,non-target,[]
MOD PTV ALL,1,11,False,,PTV/CTV/GTV,target,['TBD']
MOD RING AVOID,5,14,False,,avoid,non-target,[5]
MANDIBLE_NOS,1,12,False,,nos,non-target,[]
Parotid_Lt nos,1,14,False,,nos,non-target,[5]
Parotid_R nos,1,13,False,,nos,non-target,[5]
MOD POST AVOID,2,14,False,,avoid,non-target,[5]
Dose 74[Gy],1,11,False,,,non-target,[5]
avoid 70gy,1,10,False,,avoid,non-target,[5]
NORMAL TISSUE 1,1,15,False,,,non-target,[5]
NORMAL TISSUE 2,1,15,False,,,non-target,[5]
NORMAL TISSUE 3,1,15,False,,,non-target,[5]
Esophagus_Up,9,12,False,,,non-target,[]
LarynxGSL,8,9,False,,,non-target,[]
BrainStem_03,12,12,False,,,non-target,[]
SpinalCord_05,11,13,False,,,non-target,[]
CTV_6300,26,8,False,,PTV/CTV/GTV,target,['TBD']
CTV_5900p,4,9,False,,PTV/CTV/GTV,target,['TBD']
PTV_6300,8,8,False,,PTV/CTV/GTV,target,['TBD']
PTV_5900,5,8,False,,PTV/CTV/GTV,target,['TBD']
BrachialPlex_03R,6,16,False,,,non-target,[]
BrachialPlex_03L,6,16,False,,,non-target,[]
OptChiasm_03,5,12,False,,,non-target,[]
OptNerv_R_03,5,12,False,,,non-target,[]
OptNerv_L_03,5,12,False,,,non-target,[]
SkinOAR,4,7,False,,,non-target,[]
TMjoint_R,7,9,False,,,non-target,[]
TMjoint_L,7,9,False,,,non-target,[]
PTV_7000_Eval,6,13,False,,PTV/CTV/GTV,target,['TBD']
PTV_6300_Eval,4,13,False,,PTV/CTV/GTV,target,['TBD']
PTV_5900_Eval,3,13,False,,PTV/CTV/GTV,target,['TBD']
PTV_5600_Eval,1,13,False,,PTV/CTV/GTV,target,['TBD']
CTV_5900n,4,9,False,,PTV/CTV/GTV,target,['TBD']
CTV_5900,5,8,False,,PTV/CTV/GTV,target,['TBD']
z_Avoid_5900,1,12,False,,avoid,non-target,[]
z_Ring_5900,1,11,False,,z,non-target,[]
z_Gradient_5900,1,15,False,,z,non-target,[]
z_Gradient_5600,1,15,False,,z,non-target,[]
z_Avoid_Middle2,7,15,False,,avoid,non-target,[]
V2 nerve,1,8,False,,,non-target,[5]
z_FlattenLowDose,2,16,False,,z,non-target,[]
SubmndSalv_R_NOS,13,16,False,,nos,non-target,[]
SubmndSalv_L_NOS,10,16,False,,nos,non-target,[]
z_PTV56_nos,1,11,False,,z,target,['TBD']
z_DensityOveride,2,16,False,,z,non-target,[]
z_CTV56_nos,1,11,False,,z,target,['TBD']
z_PTV70_opt,1,11,False,,z,target,['TBD']
z_PTV60_opt,1,11,False,,z,target,['TBD']
MIDDLE_AVOID2,1,13,False,,avoid,non-target,[]
z_Bones^RadCalc,15,15,False,,z,non-target,[]
Parotid_L1,2,10,False,,,non-target,[]
Lens_L1,2,7,False,,,non-target,[]
Larynx1,2,7,False,,,non-target,[]
Lens_R1,2,7,False,,,non-target,[]
Cochlea_R1,2,10,False,,,non-target,[]
Parotid_R1,2,10,False,,,non-target,[]
Cochlea_L1,2,10,False,,,non-target,[]
Z_MOD1_PTVnov_56,1,16,False,,z,target,['TBD']
z_M1_PTV70_opt,1,14,False,,z,target,['TBD']
z_M1PTV7000+6000,43,16,False,,z,target,['TBD']
z_M1_PTV_All,81,12,False,,z,target,['TBD']
M1_CTV_6000,128,11,False,,PTV/CTV/GTV,target,['TBD']
z_M1_PTV60_opt,1,14,False,,z,target,['TBD']
z_Ring70,5,8,False,,z,non-target,[]
z_Ring60,14,8,False,,z,non-target,[]
M1_CTV_7000,99,11,False,,PTV/CTV/GTV,target,['TBD']
z_MiddleAvoid,20,13,False,,avoid,non-target,[]
z_MiddleAvoid2,1,14,False,,avoid,non-target,[]
z_M1_PTV56_nos,1,14,False,,z,target,['TBD']
M1_CTV_5600,120,11,False,,PTV/CTV/GTV,target,['TBD']
M1_PTV_7000,35,11,False,,PTV/CTV/GTV,target,['TBD']
M1_PTV_6000,5,11,False,,PTV/CTV/GTV,target,['TBD']
M1_PTV_5600,4,11,False,,PTV/CTV/GTV,target,['TBD']
M1_GTV,47,6,False,,PTV/CTV/GTV,target,['TBD']
